Type,Genus,Species,Fossil type,Dispersal unit,Isodiametric tetrad or anisodiametric tetrad,Aperture type,Amb shape (polar view shape),Exine ornamentation (surface),Tetrad diameter (D) (µm),Individual cell equatorial diameter (d) (µm),Individual cell polar axis (P) or Monad polar axis (P) (µm),Septum (septal exine) thickness (Se) (µm),Exine thickness (Ex) (µm),Tetrad diameter/Cell equatorial diameter (D/d),Cell P/E axis ratio (P/d),Ex/Se,Monad equatorial diameter (E),Monad P/E axis ratio (P/E),Cell big polar axis (µm),Equatorial shape,"Aperture length (2f for tetrad, L for monad) (µm)",Aperture width (W) (µm),2f/W or L/W,2f/D
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,58.39,44.45,32.69,4.1,3.49,1.31,0.74,0.85,NA,NA,NA,5,25.76,0.8,32.2,0.44
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,56.98,41.53,28.96,3.04,2.93,1.37,0.7,0.96,NA,NA,NA,5,27.89,0.64,43.58,0.49
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,62.84,44.84,32.76,2.89,3.17,1.4,0.73,1.1,NA,NA,NA,5,29.43,1.3,22.64,0.47
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,64.13,43.42,33.79,2.59,4.56,1.48,0.78,1.76,NA,NA,NA,5,30.53,1.47,20.77,0.48
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,60.79,42.04,32.86,3.5,2.91,1.45,0.78,0.83,NA,NA,NA,5,27.25,2.47,11.03,0.45
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,57.84,45.4,28.59,3.51,3.75,1.27,0.63,1.07,NA,NA,NA,5,24.04,2.61,9.21,0.42
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,64.64,46.75,32.59,2.74,3.01,1.38,0.7,1.1,NA,NA,NA,5,32.8,0.92,35.65,0.51
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,61.65,42.49,31.03,2.47,2.64,1.45,0.73,1.07,NA,NA,NA,5,26.98,1.47,18.35,0.44
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,58.28,46.27,30.87,2.75,3.67,1.26,0.67,1.33,NA,NA,NA,5,29.07,1.79,16.24,0.5
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,63.15,48.5,33.02,3.01,3.01,1.3,0.68,1,NA,NA,NA,5,33.27,1.18,28.19,0.53
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,59.53,43.67,32.59,2.74,2.91,1.36,0.75,1.06,NA,NA,NA,5,33.86,1.25,27.09,0.57
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,69.52,42.83,35.1,3.46,3,1.62,0.82,0.87,NA,NA,NA,5,28.85,2.31,12.49,0.41
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,70.08,48.24,36.03,3.9,2.81,1.45,0.75,0.72,NA,NA,NA,5,31.73,0.81,39.17,0.45
