Type,Genus,Species,Fossil type,Dispersal unit,Isodiametric tetrad or anisodiametric tetrad,Aperture type,Amb shape (polar view shape),Exine ornamentation (surface),Tetrad diameter (D) (µm),Individual cell equatorial diameter (d) (µm),Individual cell polar axis (P) or Monad polar axis (P) (µm),Septum (septal exine) thickness (Se) (µm),Exine thickness (Ex) (µm),Tetrad diameter/Cell equatorial diameter (D/d),Cell P/E axis ratio (P/d),Ex/Se,Monad equatorial diameter (E),Monad P/E axis ratio (P/E),Cell big polar axis (µm),Equatorial shape,"Aperture length (2f for tetrad, L for monad) (µm)",Aperture width (W) (µm),2f/W or L/W,2f/D
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,60.33,45.81,29.34,3.69,4.02,1.32,0.64,1.09,NA,NA,NA,5,31.44,1.42,22.14,0.52
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,58.98,38.85,30.67,3.58,4.32,1.52,0.79,1.21,NA,NA,NA,5,28.15,2.06,13.67,0.48
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,59.65,49.92,32.31,3.07,4.05,1.19,0.65,1.32,NA,NA,NA,5,28.4,1.93,14.72,0.48
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,65.16,51.41,33.61,3.95,4.94,1.27,0.65,1.25,NA,NA,NA,5,29.73,1.08,27.53,0.46
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,65.49,41.93,30.94,4.06,3.53,1.56,0.74,0.87,NA,NA,NA,5,28.54,3.34,8.54,0.44
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,67.49,52.79,37.5,2.95,3.92,1.28,0.71,1.33,NA,NA,NA,5,33.71,0.77,43.78,0.5
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,59.23,45.53,30.12,4.21,3.92,1.3,0.66,0.93,NA,NA,NA,5,28.24,1.28,22.06,0.48
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,63.01,47.1,30.44,3.03,3.66,1.34,0.65,1.21,NA,NA,NA,5,29.31,1.4,20.94,0.47
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,59.41,44.97,34.57,3.41,3.37,1.32,0.77,0.99,NA,NA,NA,5,27.13,1.77,15.33,0.46
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,54.45,45.42,24.65,4.25,4.7,1.2,0.54,1.11,NA,NA,NA,5,23.43,1.29,18.16,0.43
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,57.3,48.82,28.65,4.29,5.51,1.17,0.59,1.28,NA,NA,NA,5,24.23,1.25,19.38,0.42
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,64.73,44.85,37.11,3.54,4.5,1.44,0.83,1.27,NA,NA,NA,5,24.64,1.06,23.25,0.38
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,56.1,44.09,33.07,3.61,4.23,1.27,0.75,1.17,NA,NA,NA,5,28.15,1.03,27.33,0.5
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,23.65,NA,2.15,NA,NA,NA,19.09,1.24,18.3,7,21.06,0.62,33.97,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,24.1,NA,2,NA,NA,NA,21.17,1.14,18.45,6,19.94,0.56,35.61,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,26.33,NA,2.67,NA,NA,NA,19.96,1.32,20.18,7,22.99,0.43,53.47,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,24.61,NA,2.23,NA,NA,NA,20.38,1.21,18.9,7,20.51,0.52,39.44,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,23.92,NA,1.8,NA,NA,NA,17.2,1.39,16.86,8,19.94,0.59,33.8,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,24.2,NA,2.4,NA,NA,NA,20.55,1.18,19.14,7,20.25,0.61,33.2,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,26.04,NA,2.46,NA,NA,NA,20.47,1.27,20.52,7,22.07,0.62,35.6,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,22.36,NA,2.01,NA,NA,NA,18.84,1.19,18.04,7,17.94,0.48,37.38,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,23.1,NA,1.94,NA,NA,NA,17.92,1.29,17.59,7,18.47,0.53,34.85,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,26.19,NA,2.52,NA,NA,NA,21.95,1.19,20.71,7,22.04,0.43,51.26,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,23.98,NA,2.3,NA,NA,NA,19.05,1.26,17.89,7,20.14,0.44,45.77,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,24.17,NA,2.37,NA,NA,NA,19.61,1.23,17.8,7,20.28,0.48,42.25,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,25.47,NA,2.21,NA,NA,NA,19.52,1.3,19.79,7,21.83,0.48,45.48,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,25.07,NA,2.42,NA,NA,NA,19.96,1.26,19.51,7,20.65,0.45,45.89,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,26.24,NA,2.34,NA,NA,NA,21.47,1.22,20.03,7,19.48,0.6,32.47,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,17.76,NA,1.68,NA,NA,NA,13.5,1.32,14.29,7,12.51,0.67,18.67,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,18.42,NA,1.93,NA,NA,NA,15.35,1.2,14.99,7,13.7,0.4,34.25,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,18.55,NA,1.42,NA,NA,NA,15.35,1.21,14.08,7,14.34,0.42,34.14,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,18.09,NA,1.65,NA,NA,NA,15.01,1.21,14.2,7,13.72,0.48,28.58,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,17.94,NA,1.25,NA,NA,NA,14.5,1.24,14.58,7,15.13,0.34,44.5,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,17.79,NA,1.41,NA,NA,NA,14.74,1.21,14.57,7,13.53,0.44,30.75,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,18.54,NA,1.21,NA,NA,NA,14.64,1.27,15.55,7,12.99,0.4,32.48,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,19.27,NA,1.28,NA,NA,NA,15.1,1.28,15.37,7,11.15,0.5,22.3,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,18.17,NA,1.36,NA,NA,NA,14.84,1.22,14.75,7,15.16,0.44,34.45,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,17.19,NA,1.38,NA,NA,NA,14.64,1.17,14.66,7,13.26,0.37,35.84,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,17.34,NA,1.37,NA,NA,NA,14.18,1.22,14.32,7,13.07,0.42,31.12,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,18.69,NA,1.65,NA,NA,NA,15.31,1.22,14.54,7,14.34,0.36,39.83,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,18.09,NA,1.17,NA,NA,NA,14.07,1.29,15.12,7,12.42,0.34,36.53,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,18.21,NA,1.55,NA,NA,NA,14.68,1.24,14.1,7,12.98,0.41,31.66,NA
Reference,Monotoca,Monotoca elliptica,NA,2,2,3,2,0,NA,NA,18.42,NA,1.58,NA,NA,NA,14.93,1.23,15.2,7,13.28,0.38,34.95,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,19.09,NA,1.15,NA,NA,NA,14.8,1.29,12.76,7,13.43,0.53,25.34,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,17.59,NA,1.23,NA,NA,NA,13.88,1.27,13.12,7,12.7,0.29,43.79,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,19.87,NA,1.28,NA,NA,NA,14.8,1.34,17.14,8,15.14,0.42,36.05,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,18.76,NA,1.06,NA,NA,NA,14.75,1.27,15.62,7,10.43,0.4,26.08,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,22.33,NA,1.33,NA,NA,NA,16.12,1.39,19.27,8,14.2,0.59,24.07,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,18.86,NA,1.06,NA,NA,NA,13.39,1.41,15.35,8,12.01,0.49,24.51,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,18.68,NA,1.33,NA,NA,NA,14.31,1.31,15.67,7,8.95,0.46,19.46,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,17.8,NA,1.29,NA,NA,NA,15.2,1.17,13.3,7,7.59,0.39,19.46,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,19,NA,1.3,NA,NA,NA,13.43,1.41,15.94,8,11.58,0.53,21.85,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,17.65,NA,1.1,NA,NA,NA,13.33,1.32,14.72,7,9.12,0.39,23.38,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,16.71,NA,1.33,NA,NA,NA,14.13,1.18,13.85,7,9.89,0.4,24.73,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,19.64,NA,1.61,NA,NA,NA,14.47,1.36,14.84,8,7.45,0.42,17.74,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,19.76,NA,1.35,NA,NA,NA,15.47,1.28,15.5,7,14.67,0.5,29.34,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,19.67,NA,1.35,NA,NA,NA,15.82,1.24,16.38,7,13.29,0.45,29.53,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,18.51,NA,1.44,NA,NA,NA,15.1,1.23,14.76,7,13.1,0.51,25.69,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,16.52,NA,1.11,NA,NA,NA,13.19,1.25,13,7,9.03,0.47,19.21,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,17.25,NA,1.23,NA,NA,NA,12.4,1.39,12.69,8,13.95,0.3,46.5,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,18.61,NA,1.45,NA,NA,NA,12.28,1.52,14.11,8,9.23,0.56,16.48,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,4,NA,NA,19.64,NA,1.4,NA,NA,NA,14.15,1.39,14.93,8,11.43,0.4,28.58,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,16.71,NA,1.49,NA,NA,NA,13.24,1.26,13.34,7,12.19,0.39,31.26,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,12.89,9.17,NA,NA,1.37,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,4,NA,NA,17.85,NA,1.1,NA,NA,NA,12.83,1.39,13.44,8,12.71,0.35,36.31,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,4,NA,NA,15.97,NA,1.31,NA,NA,NA,13.19,1.21,12.56,7,9.87,0.41,24.07,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,18.17,NA,1.04,NA,NA,NA,13.83,1.31,14.3,7,13.86,0.4,34.65,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,17.06,NA,1.09,NA,NA,NA,13.69,1.25,13.66,7,10.87,0.4,27.18,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,15.62,NA,1.3,NA,NA,NA,13.2,1.18,12.52,7,9.92,0.33,30.06,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,16.9,NA,1.35,NA,NA,NA,12.41,1.36,12.23,8,11.27,0.4,28.18,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,17.52,NA,1.55,NA,NA,NA,14.44,1.21,13.18,7,11.03,0.33,33.42,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,4,NA,NA,16.04,NA,1.3,NA,NA,NA,13.42,1.2,13.45,7,9.78,0.4,24.45,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,NA,NA,18.29,NA,1.82,NA,NA,NA,13.26,1.38,12.7,8,10.32,0.35,29.49,NA
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,12.06,NA,15.56,NA,NA,NA,NA,NA,12.54,1.24,13.33,7,9.68,0.48,20.17,0.8
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,12.54,NA,15.4,NA,NA,NA,NA,NA,12.54,1.23,12.38,7,10.63,0.48,22.15,0.85
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,11.11,NA,16.51,NA,NA,NA,NA,NA,11.59,1.42,10.63,8,13.65,0.63,21.67,1.23
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,12.7,NA,16.67,NA,NA,NA,NA,NA,11.9,1.4,10.48,8,10.79,0.48,22.48,0.85
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,12.06,NA,15.71,NA,NA,NA,NA,NA,13.81,1.14,13.17,6,12.38,0.63,19.65,1.03
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,12.22,NA,15.56,NA,NA,NA,NA,NA,12.06,1.29,12.38,7,12.86,0.79,16.28,1.05
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,13.17,NA,14.92,NA,NA,NA,NA,NA,12.22,1.22,12.06,7,12.38,0.79,15.67,0.94
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,11.59,NA,14.6,NA,NA,NA,NA,NA,12.54,1.16,12.22,7,7.14,0.48,14.88,0.62
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,13.17,NA,16.35,NA,NA,NA,NA,NA,11.9,1.37,11.9,8,13.17,0.63,20.9,1
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,13.49,NA,15.56,NA,NA,NA,NA,NA,13.17,1.18,13.17,7,12.06,0.48,25.13,0.89
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,11.43,NA,15.71,NA,NA,NA,NA,NA,12.54,1.25,12.7,7,10.95,0.48,22.81,0.96
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,12.06,NA,17.14,NA,NA,NA,NA,NA,11.43,1.5,12.22,8,12.86,0.48,26.79,1.07
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,12.22,NA,15.56,NA,NA,NA,NA,NA,13.17,1.18,11.75,7,10.32,0.63,16.38,0.84
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,14.13,NA,18.57,NA,NA,NA,NA,NA,13.65,1.36,15.24,8,16.51,0.79,20.9,1.17
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,12.06,NA,16.67,NA,NA,NA,NA,NA,11.27,1.48,11.9,8,11.11,0.63,17.63,0.92
Reference,Monotoca,Monotoca scoparia,NA,2,2,3,2,0,10.79,NA,16.35,NA,NA,NA,NA,NA,12.22,1.34,10.32,8,11.43,0.63,18.14,1.06
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,23.81,16.62,12.56,0.95,1.54,1.43,0.76,1.62,NA,NA,NA,5,12.92,1.11,11.64,0.54
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,21.38,15.17,11.35,NA,1.14,1.41,0.75,NA,NA,NA,NA,5,14.87,0.79,18.82,0.7
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,27.62,18.21,13.32,1.06,0.92,1.52,0.73,0.87,NA,NA,NA,5,17.78,0.92,19.33,0.64
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,24.73,17.65,12.94,1.43,1.7,1.4,0.73,1.19,NA,NA,NA,5,16.86,0.71,23.75,0.68
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,23.08,14.63,12.54,1.79,1.78,1.58,0.86,0.99,NA,NA,NA,5,16.02,0.63,25.43,0.69
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,22.94,16.13,12.84,1.32,1.67,1.42,0.8,1.27,NA,NA,NA,5,15.79,0.78,20.24,0.69
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,24.71,16.48,11.59,0.86,1.57,1.5,0.7,1.83,NA,NA,NA,5,17.51,0.98,17.87,0.71
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,23.6,17.71,12.21,0.95,0.83,1.33,0.69,0.87,NA,NA,NA,5,17.9,0.71,25.21,0.76
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,24.97,16.7,12.94,0.67,1.24,1.5,0.77,1.85,NA,NA,NA,5,15.97,0.76,21.01,0.64
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,23.52,17.14,12.05,0.79,0.79,1.37,0.7,1,NA,NA,NA,5,15.41,1.06,14.54,0.66
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,25.92,17.37,14.68,1.02,1.56,1.49,0.85,1.53,NA,NA,NA,5,13.7,0.79,17.34,0.53
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,22.67,17.63,11.44,0.89,1.06,1.29,0.65,1.19,NA,NA,NA,5,15.56,1.1,14.15,0.69
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,25.35,16.22,12.54,NA,1.83,1.56,0.77,NA,NA,NA,NA,5,18.71,0.95,19.69,0.74
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,21.86,16.1,10.29,0.95,1.43,1.36,0.64,1.51,NA,NA,NA,5,NA,NA,NA,NA
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,24.59,16.67,12.03,1.35,1.4,1.48,0.72,1.04,NA,NA,NA,5,19.71,0.95,20.75,0.8
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,23.87,16.24,13.17,1.08,1.43,1.47,0.81,1.32,NA,NA,NA,5,14.6,0.92,15.87,0.61
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,20.32,16.54,10.67,1.14,1.35,1.23,0.65,1.18,NA,NA,NA,5,NA,0.71,NA,NA
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,1,0,26.6,18.73,13.9,0.84,1.22,1.42,0.74,1.45,NA,NA,NA,5,16.63,0.83,20.04,0.63
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,1,0,23.38,17,13.49,1.05,1.62,1.38,0.79,1.54,NA,NA,NA,5,16.48,1.38,11.94,0.7
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,1,0,26.46,18.41,13.92,1.13,1.75,1.44,0.76,1.55,NA,NA,NA,5,18.79,1.81,10.38,0.71
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,1,0,25.06,17.89,12.49,1.54,1.67,1.4,0.7,1.08,NA,NA,NA,5,19.13,1.02,18.75,0.76
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,24.54,18.05,13.44,1.38,1.7,1.36,0.74,1.23,NA,NA,NA,5,17.9,0.86,20.81,0.73
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,21.33,17.38,11.11,1.38,1.78,1.23,0.64,1.29,NA,NA,NA,5,NA,0.89,NA,NA
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,1,0,27.24,18.76,13.68,0.95,1.59,1.45,0.73,1.67,NA,NA,NA,5,18.54,0.98,18.92,0.68
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,1,0,25.51,16.81,12.35,1.83,1.48,1.52,0.73,0.81,NA,NA,NA,5,19.51,1.71,11.41,0.76
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,1,0,23.87,18.84,12.92,1.57,2.02,1.27,0.69,1.29,NA,NA,NA,5,NA,0.95,NA,NA
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,24.22,16.48,12.33,1.14,1.16,1.47,0.75,1.02,NA,NA,NA,5,NA,0.67,NA,NA
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,24.41,14.87,11.9,NA,1.14,1.64,0.8,NA,NA,NA,NA,5,NA,NA,NA,NA
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,24.51,16.1,12.54,1.59,1.59,1.52,0.78,1,NA,NA,NA,5,14.76,0.63,23.43,0.6
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,1,0,26.78,17.46,13.02,1.17,1.57,1.53,0.75,1.34,NA,NA,NA,5,20.46,1.59,12.87,0.76
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,24.7,17.7,13.04,1.88,1.83,1.4,0.74,0.97,NA,NA,NA,5,18.65,1.12,16.65,0.76
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,24.6,20.4,14.49,1.86,1.78,1.21,0.71,0.96,NA,NA,NA,5,15.74,0.57,27.61,0.64
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,22.26,17.03,10.77,1.13,1.8,1.31,0.63,1.59,NA,NA,NA,5,15.78,0.6,26.3,0.71
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,24.91,19.18,14.22,1.57,1.74,1.3,0.74,1.11,NA,NA,NA,5,16.59,0.77,21.55,0.67
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,26.5,20.7,13.54,1.64,3.05,1.28,0.65,1.86,NA,NA,NA,5,18.87,1.34,14.08,0.71
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,26.31,18.37,13.71,1.48,3.01,1.43,0.75,2.03,NA,NA,NA,5,20.05,1.15,17.43,0.76
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,25.78,18.87,13.24,2.21,1.91,1.37,0.7,0.86,NA,NA,NA,5,16.5,0.9,18.33,0.64
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,24.38,17.63,13,2.07,2.26,1.38,0.74,1.09,NA,NA,NA,5,16.15,0.84,19.23,0.66
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,19.18,14.01,10.24,1.69,2.47,1.37,0.73,1.46,NA,NA,NA,5,11.13,0.76,14.64,0.58
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,24.01,17.76,10.97,1.73,2.82,1.35,0.62,1.63,NA,NA,NA,5,16.48,0.99,16.65,0.69
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,25.72,16.34,13.08,1.57,2.78,1.57,0.8,1.77,NA,NA,NA,5,17.62,1.2,14.68,0.69
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,24.13,17.98,12.34,1.76,2.56,1.34,0.69,1.45,NA,NA,NA,5,15.68,1.03,15.22,0.65
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,1,0,24.64,17.94,12.78,1.83,1.84,1.37,0.71,1.01,NA,NA,NA,5,16.24,0.91,17.85,0.66
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,21.84,17.14,10.32,1.62,2.29,1.27,0.6,1.41,NA,NA,NA,5,13.6,0.99,13.74,0.62
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,25.1,17.85,13.8,1.67,2.16,1.41,0.77,1.29,NA,NA,NA,5,17.22,0.89,19.35,0.69
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,26.13,19.16,13.67,1.67,1.57,1.36,0.71,0.94,NA,NA,NA,5,17.75,0.98,18.11,0.68
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,24.24,17.33,10.33,1.19,2.25,1.4,0.6,1.89,NA,NA,NA,5,15.86,0.85,18.66,0.65
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,23.78,18.13,12.79,1.43,2.06,1.31,0.71,1.44,NA,NA,NA,5,17.55,0.75,23.4,0.74
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,23.58,18.08,13.83,1.2,1.66,1.3,0.76,1.38,NA,NA,NA,5,17.7,1.24,14.27,0.75
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,20.94,16.09,10.54,1.77,2.81,1.3,0.66,1.59,NA,NA,NA,5,14.61,0.66,22.14,0.7
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,21.19,17.25,11.93,1.85,2.86,1.23,0.69,1.55,NA,NA,NA,5,13.52,0.7,19.31,0.64
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,18.23,14.27,9.96,1.82,2.32,1.28,0.7,1.27,NA,NA,NA,5,10.68,0.7,15.26,0.59
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,18.65,16,9.85,1.8,2.3,1.17,0.62,1.28,NA,NA,NA,5,12.49,0.88,14.19,0.67
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,21.45,15.85,11.64,1.76,2.33,1.35,0.73,1.32,NA,NA,NA,5,14.08,0.76,18.53,0.66
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,22.19,16.87,11.62,1.9,2.32,1.32,0.69,1.22,NA,NA,NA,5,14.52,1.29,11.26,0.65
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,1,0,25.37,19.55,12.87,1.62,1.55,1.3,0.66,0.96,NA,NA,NA,5,14.64,0.76,19.26,0.58
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,1,0,24.52,19.61,12.35,1.6,2.21,1.25,0.63,1.38,NA,NA,NA,5,14.83,1.01,14.68,0.6
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,1,0,24.58,19.17,12.74,1.78,2.02,1.28,0.66,1.13,NA,NA,NA,5,17.12,0.77,22.23,0.7
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,19.41,15.09,10.32,1.78,1.79,1.29,0.68,1.01,NA,NA,NA,5,13.18,0.77,17.12,0.68
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,23.27,17.47,12.09,2.1,2.31,1.33,0.69,1.1,NA,NA,NA,5,13.71,0.79,17.35,0.59
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,1,0,22.21,16.74,11.36,1.73,1.84,1.33,0.68,1.06,NA,NA,NA,5,14.89,0.78,19.09,0.67
